Year	Quarter	Month	RoomType	Revenue
2014	1	January	Cambridge	" $90,005 "
2014	1	February	Cambridge	" $104,397 "
2014	1	March	Cambridge	" $53,546 "
2014	2	April	Cambridge	" $103,543 "
2014	2	May	Cambridge	" $111,353 "
2014	2	June	Cambridge	" $94,292 "
2014	3	July	Cambridge	" $112,334 "
2014	3	August	Cambridge	" $68,446 "
2014	3	September	Cambridge	" $82,581 "
2014	4	October	Cambridge	" $103,366 "
2014	4	November	Cambridge	" $82,564 "
2014	4	December	Cambridge	" $105,459 "
2014	1	January	Piccadilly	" $94,910 "
2014	1	February	Piccadilly	" $133,914 "
2014	1	March	Piccadilly	" $80,115 "
2014	2	April	Piccadilly	" $98,960 "
2014	2	May	Piccadilly	" $93,664 "
2014	2	June	Piccadilly	" $98,108 "
2014	3	July	Piccadilly	" $73,953 "
2014	3	August	Piccadilly	" $76,590 "
2014	3	September	Piccadilly	" $152,078 "
2014	4	October	Piccadilly	" $78,984 "
2014	4	November	Piccadilly	" $134,740 "
2014	4	December	Piccadilly	" $98,717 "
2015	1	January	Cambridge	" $134,521 "
2015	1	February	Cambridge	" $85,955 "
2015	1	March	Cambridge	" $129,781 "
2015	2	April	Cambridge	" $101,496 "
2015	2	May	Cambridge	" $89,009 "
2015	2	June	Cambridge	" $123,314 "
2015	3	July	Cambridge	" $130,748 "
2015	3	August	Cambridge	" $107,992 "
2015	3	September	Cambridge	" $66,601 "
2015	4	October	Cambridge	" $74,993 "
2015	4	November	Cambridge	" $109,970 "
2015	4	December	Cambridge	" $132,586 "
2015	1	January	Piccadilly	" $96,206 "
2015	1	February	Piccadilly	" $140,144 "
2015	1	March	Piccadilly	" $151,357 "
2015	2	April	Piccadilly	" $100,182 "
2015	2	May	Piccadilly	" $130,772 "
2015	2	June	Piccadilly	" $128,983 "
2015	3	July	Piccadilly	" $88,728 "
2015	3	August	Piccadilly	" $132,253 "
2015	3	September	Piccadilly	" $134,305 "
2015	4	October	Piccadilly	" $192,678 "
2015	4	November	Piccadilly	" $117,500 "
2015	4	December	Piccadilly	" $109,946 "
